id,original,source,no_of_#,no_of_@,no_of_urls,no_of_media,created_at,text,user_id,verified,no_of_tweets,description,geo_enabled,screen_name,followers,friends,rt,fav,tweet_geo,target_value
552804763461775360,True,TweetDeck,1,0,1,0,Wed Jan 07 12:31:40 +0000 2015,b'BREAKING: Police official confirms that 12 have died in the attack on the #CharlieHebdo headquarters http://t.co/K7ZHV9C27F',16973333,True,123923,True,False,Independent,972302,1763,111,9,False,0
552833028201144320,True,Twitter Web Client,2,0,1,1,Wed Jan 07 14:23:59 +0000 2015,b'URGENT: 3 gunmen involved in deadly attack on #CharlieHebdo - French interior minister http://t.co/3Jsosc7yl3 #Paris http://t.co/9fqT2P6yhV',64643056,True,104907,True,False,RT_com,840871,461,152,40,False,0
552831881847533568,True,SocialFlow,1,0,1,0,Wed Jan 07 14:19:26 +0000 2015,"b'Three attackers being hunted for assault on French magazine #CharlieHebdo, French interior minister says http://t.co/F7ZB9JXIfe'",5402612,True,22774,True,False,BBCBreaking,12908334,3,566,171,False,0
553544419602104320,True,Twitter Web Client,0,0,1,0,Fri Jan 09 13:30:48 +0000 2015,b'DEVELOPING: 2 reported dead in second hostage situation at Paris grocery store http://t.co/F4K3C1lot7',1367531,True,190250,True,False,FoxNews,4734461,381,252,63,False,0
553216909022605312,True,SocialFlow,1,0,0,1,Thu Jan 08 15:49:24 +0000 2015,"b'Police seen in Longpont, a village near to a petrol station reportedly robbed by the two #CharlieHebdo suspects. http://t.co/cQsXx2q9PT'",2190056023,True,9538,True,False,BBCOS,26071,1267,130,53,False,0
552834445301256192,True,Twitter Web Client,0,0,1,0,Wed Jan 07 14:29:37 +0000 2015,"b'BREAKING: Three gunmen involved in attack on Charlie Hebdo magazine, French Interior Minister Bernard Cazeneuve says. http://t.co/ak9mTVfJdR'",2097571,True,74911,True,False,cnni,3021990,389,132,31,False,0
552978099357237248,True,Twitter Web Client,1,0,0,1,Thu Jan 08 00:00:27 +0000 2015,"b""Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT""",212369763,False,5787,True,True,tmpear,1337,1718,190,98,False,0
553512735192141826,True,SkyNews Alerts - Breaking,2,0,0,0,Fri Jan 09 11:24:54 +0000 2015,b'Update - AFP: an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack',87416722,True,27249,True,False,SkyNewsBreak,1378961,6,108,28,False,0
552985912901001218,True,Twitter Web Client,3,0,0,1,Thu Jan 08 00:31:30 +0000 2015,b'#Banksy has also contributed a powerful message of perseverance &amp; support after #CharlieHebdo attack. #JeSuisCharlie http://t.co/bm8uyixSma',110396781,True,4158,True,False,ajplus,60704,155,129,87,False,0
552838551071911936,True,SocialFlow,0,0,1,0,Wed Jan 07 14:45:56 +0000 2015,"b'Officials say 3 gunmen carried out Charlie Hebdo shootings, France\\u2019s bloodiest terrorist attack in nearly 2 decades. http://t.co/03Tiwniedk'",2467791,True,124541,True,True,washingtonpost,3875032,1156,190,33,False,0
553558982476828674,True,Twitter for iPad,1,0,0,0,Fri Jan 09 14:28:40 +0000 2015,"b'On Israeli TV, an Israeli woman speaks of her nephew,a mother with 6 month old baby, held hostage in the supermarket in Paris. #JeSuisJuif'",328967731,True,3383,True,False,AvitalLeibovich,26935,819,117,27,False,0
553588494661337089,True,Sprinklr,1,0,1,1,Fri Jan 09 16:25:56 +0000 2015,b'The #CharlieHebdo massacre brothers have been killed. Full story here: http://t.co/s7KfpU7vqb http://t.co/jFCrKaZ3DL',919283569,False,6660,True,False,SunNewsdesk,12109,62,157,63,False,0
553502311872733184,True,Twitter for iPhone,1,0,0,1,Fri Jan 09 10:43:29 +0000 2015,b'Field near printers has become a makeshift helicopter pad for airforce and gendarmerie Puma helicopters #charliehebdo http://t.co/O5VQOFpWlV',16591979,False,4726,True,True,RobNisbetSky,6265,938,123,40,False,0
553503184174710784,True,TweetDeck,1,0,1,1,Fri Jan 09 10:46:57 +0000 2015,"b""#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF""",64643056,True,105120,True,False,RT_com,843313,460,152,40,False,0
553588012752568321,True,SocialFlow,1,0,1,0,Fri Jan 09 16:24:02 +0000 2015,b'#CharlieHebdo gunmen reportedly killed in firefight with French special forces http://t.co/8P6WQrogO9',15438913,True,125741,True,False,MailOnline,820718,2355,135,36,False,0
553554351633858560,True,Twitter Web Client,1,0,0,1,Fri Jan 09 14:10:16 +0000 2015,b'#BREAKING: Trocadero square in Paris is evacuated. Unconfirmed reports of a gunman there http://t.co/XWREHWQuxs',1250111466,False,6906,True,True,yurybarmin,3882,976,113,11,False,0
553493785523400704,True,SocialFlow,1,0,1,1,Fri Jan 09 10:09:36 +0000 2015,b'Building in Dammartin-en-Goele where #CharlieHebdo suspects believed to be holed up http://t.co/BXIQYIqT0R http://t.co/HSzL3gK9eT',5402612,True,22805,True,False,BBCBreaking,12928766,3,705,250,False,0
553547836517007360,True,SocialFlow,0,0,0,0,Fri Jan 09 13:44:23 +0000 2015,b'BREAKING: Police: Hostage-taker at Paris market is suspect in slaying of policewoman a day earlier.',51241574,True,97578,True,False,AP,4552529,7352,369,74,False,0
553532980896231424,True,TweetDeck,2,0,1,1,Fri Jan 09 12:45:21 +0000 2015,"b""#BREAKING - Hostage taken at kosher shop in #Paris by \\u2018suspect in police officer shooting' https://t.co/h1qXZG6GlP http://t.co/vpD5A5FYGi""",25049056,True,74162,True,True,France24_en,82522,1169,153,20,False,0
553566026030272512,True,TweetDeck,0,0,0,0,Fri Jan 09 14:56:40 +0000 2015,"b'Breaking: Two hostage situations in France are linked, Paris prosecutor says'",28785486,True,100773,True,True,ABC,3851612,862,164,58,False,0
552820736490889216,True,TweetDeck,1,0,1,1,Wed Jan 07 13:35:09 +0000 2015,b'Gunmen showed advanced military skills in Paris #CharlieHebdo attack: http://t.co/Q5FIaTLF8G http://t.co/XiZLErM37y',16343974,True,199560,True,True,Telegraph,774513,264,296,70,False,0
553588053348843520,True,Twitter Web Client,0,0,0,0,Fri Jan 09 16:24:11 +0000 2015,b'Charlie Hebdo killers are dead. Sources say they are not in Paradise.',33519870,False,23025,True,True,cjwerleman,31005,986,172,133,False,0
552814767417876480,True,Twitter Web Client,1,0,0,0,Wed Jan 07 13:11:26 +0000 2015,"b'This was a well-planned attack: the gunmen hit #CharlieHebdo in the middle of the weekly conference, with all staff present.'",39750128,False,8161,True,False,daphneedenis,1424,902,178,24,False,0
553579224402235393,True,TweetDeck,1,0,1,1,Fri Jan 09 15:49:06 +0000 2015,"b'Hostage-taker at Paris store demands release of #KouachiBrothers, police union spokesman says. http://t.co/cTAJWVBmAO http://t.co/rYEGVIPAlU'",2097571,True,75036,True,False,cnni,3037554,390,129,28,False,0
552790875492073472,True,TweetDeck,0,0,1,0,Wed Jan 07 11:36:29 +0000 2015,"b'10 people confirmed dead in Paris attack - rocket launcher used in assault, according to reports http://t.co/7N7uvClhWY'",16343974,True,199545,True,True,Telegraph,774181,264,113,14,False,0
552792193992519680,True,SocialFlow,0,0,1,1,Wed Jan 07 11:41:44 +0000 2015,b'At least 11 dead and 5 injured after gunmen storm Charlie Hebdo office in Paris http://t.co/Ujw9LonL8N http://t.co/JnhZmKeW5M',15438913,True,125648,True,False,MailOnline,818631,2355,107,14,False,0
552805596198871040,True,TweetDeck,0,1,1,0,Wed Jan 07 12:34:59 +0000 2015,"b'Video footage of the the Paris shooting from French TV, via @nycjim, including a shout of Allahu akbar http://t.co/zRCnE2NeQ6'",17004618,True,19048,True,True,NickKristof,1543571,925,110,48,False,0
553540739058376704,True,TweetDeck,1,0,1,1,Fri Jan 09 13:16:11 +0000 2015,b'Kosher restaurants closing across Paris. Schools nr latest incident locked down. #ParisAttacks http://t.co/8MdsGYsaOZ http://t.co/rObM6QtWIZ',7587032,True,122504,True,False,SkyNews,1793022,17,211,43,False,0
553557753558757376,True,Twitter Web Client,0,0,1,0,Fri Jan 09 14:23:47 +0000 2015,"b""6 people believed to be hostages at Paris market, source tells BFMTV; Interior Ministry hasn't confirmed number. http://t.co/7Bxdhozq4H""",428333,True,37198,True,False,cnnbrk,22713934,113,521,183,False,0
553502180666531840,True,TweetDeck,3,0,0,1,Fri Jan 09 10:42:58 +0000 2015,b'A person living near the #Dammartin hostage scene sent us these photos #CharlieHebdo #obs http://t.co/FKHD1fGt03',16525194,True,6581,True,True,Observers,9084,366,190,44,False,0
552806117328568321,True,Hootsuite,0,0,1,0,Wed Jan 07 12:37:03 +0000 2015,b'Paris is on the highest terrorist alert after 12 people were shot dead at the offices of a satirical weekly magazine. http://t.co/040PfC0If8',34713362,True,88017,True,False,business,1928769,644,144,24,False,0
553129559173115904,True,TweetDeck,1,0,1,1,Thu Jan 08 10:02:18 +0000 2015,b'UPDATE: Police officer shot outside Paris this morning dies http://t.co/OoALEHIyC4 #Montrouge http://t.co/OgAwuVq0rM',64643056,True,105327,True,False,RT_com,845755,460,171,34,False,0
552822696195932161,True,TweetDeck,2,0,0,1,Wed Jan 07 13:42:56 +0000 2015,b'#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP http://t.co/7aR1fN2hB4',868112707,False,4627,True,False,AFPphoto,36065,241,126,13,False,0
553553288625672192,True,TweetDeck,1,0,0,0,Fri Jan 09 14:06:03 +0000 2015,"b""#BREAKING Paris hostage-taker 'knows' one Charlie Hebdo killer: source""",380648579,True,64684,True,False,AFP,309811,482,175,19,False,0
553586978017775616,True,Twitter for iPhone,0,0,0,0,Fri Jan 09 16:19:55 +0000 2015,b'BREAKING NEWS: Several hostages freed at Jewish supermarket in Paris: AFP',292777349,False,22942,True,True,PzFeed,213467,2267,191,73,False,0
553473550523580416,True,TweetDeck,4,0,1,1,Fri Jan 09 08:49:12 +0000 2015,b'#BREAKING - #FRANCE: Hostages taken at company North-East of #Paris https://t.co/4yt6nafpIg #CharlieHebdo http://t.co/DPPbKD3RUk',1994321,True,144261,True,False,FRANCE24,1256766,379,127,16,False,0
553461741917863936,True,SocialFlow,1,0,1,1,Fri Jan 09 08:02:16 +0000 2015,b'Rural region of northern France searched in hunt for #CharlieHebdo gunmen - latest updates http://t.co/7iVIN3nqCv http://t.co/YrdUIOjrZF',742143,True,189257,True,False,BBCWorld,8436669,61,191,160,False,0
553531343834202112,True,SocialFlow,0,0,1,0,Fri Jan 09 12:38:51 +0000 2015,b'A French police officer said that the suspected Charlie Hebdo gunmen said they seek to \\u201cdie as martyrs\\u201d http://t.co/cQZezwr4sl',807095,True,163222,True,False,nytimes,14704389,961,174,71,False,0
553535862911541248,True,Hootsuite,0,0,1,1,Fri Jan 09 12:56:48 +0000 2015,b'Paris: reports that man suspected of killing policewoman has 5 hostages at kosher supermarket  http://t.co/ZuU5xaf25I http://t.co/DVYPLL3XbF',788524,True,82115,True,True,guardiannews,1559581,1319,312,43,False,0
553136845589319680,True,SkyNews Alerts - Breaking,1,0,0,0,Thu Jan 08 10:31:15 +0000 2015,"b""AFP: the two armed suspects who attacked #CharlieHebdo's headquarters yesterday have been located in northern France""",87416722,True,27219,True,False,SkyNewsBreak,1376784,6,211,55,False,0
552802606696136705,True,Twitter Web Client,0,0,1,0,Wed Jan 07 12:23:06 +0000 2015,b'Charlie Hebdo shooting is a ferociously shocking moment with terrible implications for us all:  http://t.co/sIJO1vRp3w Twelve now dead.',128216887,True,9557,True,True,jonsnowC4,584117,326,557,157,False,0
553471193110421504,True,SnappyTV.com,1,0,2,0,Fri Jan 09 08:39:50 +0000 2015,b'Hostages have reportedly been taken as police pursue gunmen responsible for the #ParisAttack http://t.co/RkQMx9cijy http://t.co/CilbwL4ewF',7587032,True,122439,True,False,SkyNews,1790312,17,143,1,False,0
552814494381256704,True,TweetDeck,1,0,0,1,Wed Jan 07 13:10:20 +0000 2015,"b""UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/kLKwMSlo7g""",34262462,True,65249,True,False,SputnikInt,61410,73,220,42,False,0
553518053838061568,True,SocialFlow,0,0,1,1,Fri Jan 09 11:46:02 +0000 2015,b'The latest on the manhunt for Charlie Hebdo suspects: http://t.co/F3hv000UQX http://t.co/r0TgWbIxsr',3108351,True,104633,True,True,WSJ,5585667,976,123,10,False,0
553561452318322688,True,Twitter for Android,0,0,0,0,Fri Jan 09 14:38:29 +0000 2015,b'BREAKING UPDATE - FRANCE: Police order all shops closed in famed Jewish neighborhood in central Paris following attacks.',322572436,False,10845,True,False,IsraelHatzolah,31073,0,112,15,False,0
553505371290357761,True,Twitter Web Client,0,0,1,0,Fri Jan 09 10:55:38 +0000 2015,"b'Charlie Hebdo attack suspects told police by phone they wanted to die as martyrs, French lawmaker tells TV station. http://t.co/7Bxdhozq4H'",428333,True,37191,True,False,cnnbrk,22706964,113,631,274,False,0
553164985460068352,True,TweetDeck,1,0,1,1,Thu Jan 08 12:23:04 +0000 2015,b'The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station http://t.co/joSfDCybpI http://t.co/7xQIrb4vbU',7587032,True,122350,True,False,SkyNews,1786968,17,186,38,False,0
552793539856588801,True,Twitter Web Client,1,0,0,0,Wed Jan 07 11:47:04 +0000 2015,"b'French media to be put under police protection according to Le Figaro, quoting source in police. #Charliehebdo'",16567644,False,5085,True,True,adelesmithNYC,1483,1065,116,22,False,0
553589295525941248,True,TweetDeck,1,0,1,0,Fri Jan 09 16:29:07 +0000 2015,b'Reports that several hostages apparently freed at the #Paris kosher grocery http://t.co/7N7uvClhWY',16343974,True,199778,True,True,Telegraph,780521,264,221,54,False,0
552978376424964097,True,Twitter for iPhone,1,0,0,1,Thu Jan 08 00:01:33 +0000 2015,b'Evet! : From Banksy #JeSuisCharlie http://t.co/7QX4hhYytl\\u201d',1488110497,False,1156,True,True,yildirim_turker,64514,744,185,94,False,0
552956517197303810,True,Twitter Web Client,2,0,0,0,Wed Jan 07 22:34:41 +0000 2015,b'This is trending on French twitter #MouradHamydInnocent started by classmates who say Mourad was in class when #CharlieHebdo attack happened',256009120,False,3372,True,True,gert_lang_,1244,448,205,49,False,0
553558513210105856,True,SkyNews Alerts - Breaking,0,0,0,0,Fri Jan 09 14:26:48 +0000 2015,b'Update - French interior ministry says incident which led to evacuation of Trocadero near the Eiffel Tower in Paris was a false alarm',87416722,True,27256,True,False,SkyNewsBreak,1379846,6,219,32,False,0
553541776854634496,True,TweetDeck,0,2,0,0,Fri Jan 09 13:20:18 +0000 2015,"b""JUST IN: Police tell @ABC it's probable gunman in second Paris hostage situation is man who killed a policewoman yesterday - @WilliamsJon""",28785486,True,100769,True,True,ABC,3851261,862,122,44,False,0
552791034447794176,True,Twitter Web Client,0,0,1,0,Wed Jan 07 11:37:07 +0000 2015,"b'BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3'",64643056,True,105002,True,False,RT_com,842292,460,165,23,False,0
552810138114195456,True,SocialFlow,1,0,1,0,Wed Jan 07 12:53:02 +0000 2015,b'Unconfirmed reports gunmen asked for people by name before killing editor and cartoonist http://t.co/26GC840I9k #CharlieHebdo',15438913,True,125628,True,False,MailOnline,818237,2355,122,17,False,0
553528788383191040,True,TweetDeck,1,0,0,0,Fri Jan 09 12:28:41 +0000 2015,b'#BREAKING Armed man takes hostage in kosher grocery in Paris: source',380648579,True,64668,True,False,AFP,304779,482,1593,110,False,0
552993818816299008,True,Twitter for Android Tablets,1,0,0,1,Thu Jan 08 01:02:55 +0000 2015,"b'1st person killed by terrorists was a French Muslim cop, RIP Ahmed Merabet. Bigotry is ALWAYS wrong! #CharlieHebdo http://t.co/yyitubfAIt'",100880543,False,53758,True,False,thedahlimmama,10275,10047,158,72,False,0
553480292498153472,True,Twitter for iPhone,2,0,0,1,Fri Jan 09 09:15:59 +0000 2015,b'#ChalieHebdo terrorists are held up in a warehouse with hostages. #JeSuisCharlie http://t.co/AJYsqfKMwa',442653867,False,26782,True,True,timsullivan23,105729,424,106,30,False,0
553590459688570880,True,Twitter Web Client,1,0,0,1,Fri Jan 09 16:33:45 +0000 2015,b'Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/C9ltgMT0Wl',868112707,False,4660,True,False,AFPphoto,37363,242,2517,698,False,0
553533607126388737,True,Twitter for Websites,0,1,1,0,Fri Jan 09 12:47:50 +0000 2015,b'Jewish bakery hit in new shooting and hostage siege in Paris suburb of Vincennes http://t.co/qXnnNaoWjJ via @taylorgroupusa',266081078,False,334,True,False,taylorgroupusa,50261,497,117,0,False,0
553530524183326720,True,SocialFlow,0,0,1,0,Fri Jan 09 12:35:35 +0000 2015,b'BREAKING: Hostage taken at kosher deli in Paris by gunman who killed cop yesterday http://t.co/vQMplUv5Qu',16012783,True,113121,True,False,thedailybeast,745656,757,111,14,False,0
552788396733906944,True,WSJ.com,0,0,1,0,Wed Jan 07 11:26:38 +0000 2015,"b'Breaking: Armed men attack offices of French satirical magazine Charlie Hebdo, killing at least 10, police say http://t.co/tYCeEMKwOo'",3108351,True,104493,True,True,WSJ,5577526,974,279,33,False,0
552795693682032640,True,SocialFlow,0,0,1,0,Wed Jan 07 11:55:38 +0000 2015,b'Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo http://t.co/K4WBMHDNxO',14293310,True,104144,True,True,TIME,6708933,776,151,31,False,0
552842762505428992,True,TweetDeck,1,0,2,0,Wed Jan 07 15:02:40 +0000 2015,"b'#CHARLIEHEBDO Shooting Wrap-up: 12 dead, 3 gunmen at large, Paris on high terrorist alert http://t.co/3Jsosc7yl3 http://t.co/uAEdhUuO03'",64643056,True,104902,True,False,RT_com,840941,461,142,32,False,0
553475824369012736,True,TweetDeck,1,0,1,1,Fri Jan 09 08:58:14 +0000 2015,b'Two people reportedly seriously hurt in a shootout in the hunt for the #ParisAttack gunmen http://t.co/CVcFrESdld http://t.co/8EmDi6eZL3',7587032,True,122442,True,False,SkyNews,1790449,17,219,43,False,0
553557308937363458,True,Twitter Web Client,0,0,0,0,Fri Jan 09 14:22:01 +0000 2015,b'And now the Trocadero. I have a very bad feeling about today',189264135,False,4432,True,True,iankeithtom,362556,3361,1527,1389,False,0
553588080964558849,True,TweetDeck,1,0,1,0,Fri Jan 09 16:24:18 +0000 2015,"b'BREAKING: Two brothers suspected of #CharlieHebdo terror attacks in Paris killed, according to reports in France http://t.co/23JyHdGnp7'",7589572,True,51411,True,True,bbc5live,462990,13658,144,40,False,0
553576849943826432,True,TweetDeck,1,0,1,0,Fri Jan 09 15:39:40 +0000 2015,b'Gunman at Paris grocery store threatens to kill hostages if police storm the #CharlieHebdo brothers. http://t.co/EBbK7ny8Cx',1367531,True,190259,True,False,FoxNews,4735344,381,143,41,False,0
553533499643547648,True,TweetDeck,1,0,1,1,Fri Jan 09 12:47:25 +0000 2015,b'[Happening Now] Shooting and hostage situation at Kosher supermarket in eastern #Paris http://t.co/TszoK14DJH http://t.co/lAYTn6mfvs',25067168,True,48493,True,False,euronews,130242,337,150,19,False,0
553487544508493825,True,TweetDeck,1,0,1,1,Fri Jan 09 09:44:48 +0000 2015,b'#CharlieHebdo attack suspects take 1 person hostage North-East of Paris (police source) http://t.co/LdSF5QeCiv http://t.co/2y5fPwHXA7',1994321,True,144289,True,False,FRANCE24,1257471,379,113,22,False,0
553589720480235522,True,Twitter for iPhone,4,0,0,0,Fri Jan 09 16:30:49 +0000 2015,b'#BREAKING Le Monde newspaper says hostage take at Kosher supermarket in #Paris dead. #PorteDeVincennes #ParisTerrorAttacks',302564474,False,405,True,True,Tburgeswatson,467,96,105,25,True,0
553553813542797312,True,TweetDeck,0,1,0,1,Fri Jan 09 14:08:08 +0000 2015,b'Trocadero square in Paris evacuated. Policemen pointing their gun.\\nhttp://t.co/3fCXh6Sgp8 via @MelodiePeps',2566535282,False,18243,True,False,rConflictNews,14973,727,110,13,False,0
552805488631758849,True,Twitter Web Client,1,0,1,0,Wed Jan 07 12:34:33 +0000 2015,"b""At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs""",428333,True,37161,True,False,cnnbrk,22667902,113,1133,268,False,0
553587167394791424,True,Twitter Web Client,1,0,1,1,Fri Jan 09 16:20:40 +0000 2015,b'URGENT: Both #CharlieHebdo suspects killed - reports http://t.co/QZbkbOTJNg http://t.co/PB05L1pWmZ',64643056,True,105175,True,False,RT_com,843954,460,490,115,False,0
552785367972450304,True,TweetDeck,1,1,0,0,Wed Jan 07 11:14:36 +0000 2015,"b'French radio @Europe1 says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" #Charliehebdo'",6591312,False,5448,True,False,marcburleigh,2835,2113,143,21,False,0
552837132491186179,True,TweetDeck,1,0,1,0,Wed Jan 07 14:40:18 +0000 2015,"b""France's top security official confirms that 3 gunmen carried out the attack on #CharlieHebdo http://t.co/gL0vcc2IP5""",1367531,True,190083,True,False,FoxNews,4724491,381,131,66,False,0
552982443511144448,True,Twitter Web Client,5,0,0,1,Thu Jan 08 00:17:43 +0000 2015,"b'Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack, #JeSuisCharlie #IamCharlie #ParisShooting http://t.co/G8D3mixbjX'",2748686820,False,24586,True,True,Ironyisfunny8,411,232,679,234,False,0
553588760060125185,True,TweetDeck,1,0,1,0,Fri Jan 09 16:27:00 +0000 2015,"b'#CharlieHebdo hostage freed in Dammartin - Kouachi brothers both killed, AFP reports http://t.co/7N7uvClhWY'",16343974,True,199779,True,True,Telegraph,780532,264,130,24,False,0
552792271243210754,True,SocialFlow,1,0,1,1,Wed Jan 07 11:42:02 +0000 2015,"b'Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt'",5402612,True,22773,True,False,BBCBreaking,12907286,3,2042,287,False,0
552783667052167168,True,TweetDeck,1,0,0,1,Wed Jan 07 11:07:51 +0000 2015,"b'France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58'",25067168,True,48440,True,False,euronews,129573,337,486,38,False,0
553190393370923008,True,Buffer,1,1,1,1,Thu Jan 08 14:04:02 +0000 2015,"b'Powerful image, yes. But it was drawn by @lucilleclerc, not by Banksy. Details: http://t.co/J4WBazwZF7 #charliehebdo http://t.co/f3OEIDDj1K'",2789038870,False,592,True,False,EmergentDotInfo,2074,1431,129,33,False,0
553517713147301888,True,Twitter Web Client,1,0,0,1,Fri Jan 09 11:44:41 +0000 2015,b'Helicopters and vehicles are seen next to a building in Dammartin-en-Goele where a hostage-taking is underway #AFP http://t.co/CBBLljNX0K',868112707,False,4649,True,False,AFPphoto,36954,242,184,26,False,0
552808904137408512,True,Twitter for iPhone,2,0,0,1,Wed Jan 07 12:48:08 +0000 2015,b'MORE PHOTOS: Armed gunmen fire at police near #CharlieHebdo HQ #ParisShooting http://t.co/bb3JNdmTeF',423662810,False,8523,True,False,TheAnonMessage,134815,303,110,47,False,0
552821287933202435,True,SocialFlow,1,0,1,1,Wed Jan 07 13:37:20 +0000 2015,"b'As #CharlieHebdo attack unfolded, a journalist tweeted while taking shelter on a roof http://t.co/VUnbUrUpws http://t.co/P8E6hJcmHw'",742143,True,189145,True,False,BBCWorld,8423734,61,429,124,False,0
553107921081749504,True,Hootsuite,1,0,1,1,Thu Jan 08 08:36:19 +0000 2015,"b'Two shot in Paris, including traffic cop, as manhunt continues for #CharlieHebdo suspects http://t.co/L7wpNhAYZn http://t.co/oQi2UinDH1'",14173315,True,45137,True,False,NBCNews,2002702,2892,115,37,False,0
553115236992290816,True,TweetDeck,0,0,1,1,Thu Jan 08 09:05:23 +0000 2015,"b""Banksy's illustrated response to the Charlie Hebdo attack isn't by Banksy. But it is striking http://t.co/NQueBlmfOt http://t.co/HedHlyB24X""",16973333,True,123837,True,False,Independent,971758,1763,478,281,False,0
552799640488517632,True,TweetDeck,2,0,0,1,Wed Jan 07 12:11:19 +0000 2015,b'Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5',868112707,False,4628,True,False,AFPphoto,36111,241,573,79,False,0
